"word1","word2","word3","word4","frequency"
"has","a","lot","of",2
"has","been","a","great",2
"has","no","authority","to",2
"has","twice","as","many",2
"have","a","number","of",2
"have","been","one","of",2
"have","no","way","of",2
"have","to","be","careful",2
"he","and","his","wife",3
"he","is","not","a",2
"he","said","adding","that",2
"he","was","going","to",2
"heck","of","a","lot",2
"here","are","a","few",2
"him","nay","i","dont",2
"how","u","let","me",2
"hug","kiss","for","me",2
"i","am","going","to",2
"i","am","in","my",2
"i","asked","him","to",2
"i","can","never","remember",2
"i","cant","wait","for",3
"i","cant","wait","to",2
"i","cant","wait","until",2
"i","didnt","get","a",2
"i","didnt","know","what",2
"i","didnt","know","you",2
"i","didnt","want","to",2
"i","dont","know","how",3
"i","dont","know","if",4
"i","dont","know","what",3
"i","dont","want","to",7
"i","dont","want","you",2
"i","have","a","serious",2
"i","have","no","idea",2
"i","have","so","many",2
"i","just","want","to",2
"i","just","wanted","to",2
"i","know","im","going",2
"i","love","it","when",2
"i","love","that","song",2
"i","love","that","the",2
"i","miss","you","so",2
"i","need","to","do",2
"i","need","to","get",2
"i","pray","that","my",2
"i","still","need","to",2
"i","swear","to","god",2
"i","think","im","going",2
"i","think","its","time",2
"i","think","of","the",2
"i","thought","to","myself",2
"i","took","out","the",2
"i","tried","to","explain",2
"i","want","to","accomplish",2
"i","want","to","be",2
"i","want","to","go",2
"i","want","to","share",2
"i","want","to","thank",2
"i","was","going","to",3
"i","was","looking","for",2
"i","was","on","the",2
"i","wasnt","going","to",2
"i","woke","up","at",2
"i","would","like","to",2
"i","would","love","to",3
"if","you","follow","me",2
"if","you","have","a",2
"il","pm","to","pm",3
"ill","check","it","out",2
"im","going","to","be",2
"im","going","to","go",2
"im","going","to","miss",2
"im","not","sure","how",2
"im","not","sure","why",2
"im","probably","going","to",2
"in","a","matter","of",2
"in","a","relationship","with",2
"in","a","review","of",2
"in","a","time","when",2
"in","a","way","that",2
"in","front","of","the",3
"in","lieu","of","bail",2
"in","love","with","a",2
"in","need","of","a",2
"in","the","block","of",2
"in","the","country","illegally",2
"in","the","first","place",3
"in","the","form","of",2
"in","the","fourth","inning",2
"in","the","fourth","quarter",2
"in","the","last","few",2
"in","the","late","s",3
"in","the","lead","and",2
"in","the","middle","east",2
"in","the","middle","of",5
"in","the","mood","to",2
"in","the","next","week",2
"in","the","s","and",2
"in","the","world","they",2
"in","this","city","is",2
"inherit","the","kingdom","of",2
"into","the","lake","of",2
"is","a","good","thing",3
"is","a","lot","of",3
"is","a","set","of",3
"is","one","of","the",3
"is","part","of","the",2
"is","supposed","to","be",2
"is","the","knowledge","that",2
"is","the","last","day",2
"is","the","way","to",2
"is","what","do","you",2
"it","all","the","time",2
"it","becomes","a","part",2
"it","does","not","matter",2
"it","it","was","a",2
"it","should","be","a",2
"its","going","to","be",4
"its","hard","to","see",2
"its","nice","to","see",2
"its","still","in","your",2
"its","use","of","explosives",2
"just","found","out","i",2
"just","want","to","know",2
"kansas","missouri","news","televison",10
"knew","i","wanted","to",2
"know","im","going","to",2
"know","that","it","is",2
"last","day","of","the",2
"less","than","a","week",2
"let","me","know","if",3
"like","a","man","of",2
"like","him","but","i",2
"like","the","one","shown",2
"lives","a","lot","easier",2
"look","at","it","the",2
"looking","forward","to","seeing",2
"love","that","song","and",2
"make","up","for","the",2
"many","calories","as","airpopped",2
"may","i","send","you",2
"me","and","i","will",2
"miss","you","so","much",2
"missouri","news","televison","and",4
"missouri","news","televison","of",2
"most","of","the","night",2
"most","of","the","time",3
"mothers","day","to","all",2
"my","desire","to","be",2
"my","work","is","picking",2
"national","anthem","at","the",2
"nay","i","dont","want",4
"need","to","do","to",2
"need","to","make","a",2
"need","to","remember","about",2
"needless","to","say","i",2
"never","heard","of","it",2
"no","doubt","about","it",2
"no","way","of","knowing",2
"not","know","that","the",2
"not","to","say","that",2
"now","its","time","to",2
"of","all","the","films",2
"of","the","early","s",2
"of","the","united","states",2
"of","the","year","to",2
"of","those","days","where",2
"off","the","face","of",2
"on","behalf","of","the",2
"on","such","a","great",2
"on","the","bridge","deck",2
"on","the","city","kansas",2
"on","the","day","disabled",2
"on","the","other","hand",3
"on","the","other","side",2
"on","the","verge","of",3
"on","their","own","but",2
"on","top","of","a",3
"one","of","a","kind",2
"one","of","the","best",2
"one","of","the","few",2
"one","of","the","most",4
"one","of","the","other",2
"one","of","the","reasons",2
"one","of","those","days",2
"open","to","the","public",2
"our","lives","a","lot",2
"over","and","over","again",2
"part","of","the","day",2
"people","up","to","miles",2
"peter","has","also","been",2
"phillips","said","he","was",2
"point","of","view","that",2
"possibly","one","of","the",2
"pray","that","my","words",2
"really","have","to","do",2
"red","red","red","red",2
"rest","of","the","season",3
"retiring","at","the","end",2
"see","you","in","a",2
"sent","me","a","script",2
"silence","of","the","lambs",2
"so","excited","to","see",2
"so","there","was","no",2
"sometimes","i","feel","like",2
"spent","most","of","the",2
"st","place","in","the",2
"stay","away","from","those",2
"step","of","the","way",2
"swear","to","god","i",2
"take","it","to","the",2
"takes","a","lot","of",2
"talk","on","the","phone",2
"talk","to","my","dad",2
"taught","me","how","to",2
"thank","you","for","the",2
"thanks","for","stopping","by",2
"thanks","for","the","ff",2
"thanks","for","the","follow",9
"thanks","for","the","great",2
"thanks","for","the","mention",2
"thanks","for","the","reminder",2
"thanks","for","the","rt",3
"thanks","for","the","shout",2
"that","i","am","so",2
"that","i","want","to",2
"that","its","hard","to",2
"that","we","had","to",2
"that","would","be","awesome",2
"thats","just","the","tip",2
"thats","not","a","problem",2
"the","best","thing","that",2
"the","best","use","of",2
"the","best","way","to",3
"the","book","of","life",3
"the","chance","to","speak",2
"the","church","to","do",2
"the","city","kansas","missouri",10
"the","day","disabled","list",2
"the","dead","which","were",2
"the","end","of","may",2
"the","end","of","my",2
"the","end","of","the",13
"the","face","of","the",2
"the","first","time","i",3
"the","first","time","since",2
"the","head","of","a",2
"the","idea","is","that",2
"the","kingdom","of","god",2
"the","lake","of","fire",2
"the","last","day","of",2
"the","metal","of","choice",2
"the","middle","of","the",3
"the","need","for","a",2
"the","new","york","times",3
"the","next","day","and",2
"the","odds","of","a",2
"the","old","and","new",2
"the","other","side","of",2
"the","rest","of","the",9
"the","rest","of","this",2
"the","result","of","a",2
"the","roof","the","roof",2
"the","s","and","s",3
"the","same","number","of",2
"the","simple","fact","that",2
"the","sun","is","shining",2
"the","time","of","the",3
"the","top","of","the",3
"the","tournament","will","be",2
"the","use","of","the",2
"the","white","house","in",2
"there","are","some","very",2
"there","is","a","lot",2
"there","is","no","doubt",2
"there","is","only","one",2
"there","will","be","a",2
"these","are","students","with",2
"they","are","when","they",2
"they","have","complained","that",2
"they","were","going","to",2
"things","you","need","to",2
"think","about","you","all",2
"think","im","going","to",2
"think","its","time","to",2
"this","is","a","great",4
"this","is","why","i",2
"this","was","the","most",2
"those","things","we","dont",2
"time","to","get","ready",2
"to","be","a","bit",2
"to","be","a","great",2
"to","be","able","to",4
"to","be","in","the",2
"to","come","up","with",2
"to","come","with","a",2
"to","deal","with","you",2
"to","do","something","about",2
"to","do","the","things",2
"to","get","ready","for",2
"to","get","rid","of",2
"to","get","up","to",2
"to","give","them","a",2
"to","go","along","with",2
"to","go","back","to",2
"to","go","out","and",2
"to","go","to","the",3
"to","let","go","of",3
"to","make","sure","that",3
"to","make","sure","the",2
"to","make","up","for",2
"to","miles","away","with",2
"to","play","the","game",2
"to","salt","lake","city",2
"to","see","if","i",2
"to","take","care","of",2
"to","the","city","council",2
"to","the","city","kansas",2
"to","the","extent","that",2
"to","the","scene","of",2
"to","the","world","of",2
"to","their","works","and",2
"today","is","the","last",2
"told","me","to","go",2
"told","us","that","he",2
"too","much","on","the",2
"tournament","will","be","held",2
"trying","to","figure","out",2
"twice","as","many","calories",2
"two","and","a","half",2
"u","let","me","know",2
"up","the","dead","which",2
"up","to","miles","away",2
"want","a","chance","to",2
"want","to","accomplish","before",2
"want","to","deal","with",3
"want","to","go","back",2
"want","to","make","sure",2
"was","looking","for","the",2
"was","one","of","the",3
"was","placed","on","the",2
"way","you","look","at",2
"we","all","have","bad",2
"we","cant","wait","to",2
"we","have","a","number",2
"we","have","to","be",2
"we","have","to","play",2
"we","just","need","to",2
"well","at","least","you",2
"well","this","is","one",2
"were","able","to","do",2
"were","going","to","be",2
"what","can","god","do",2
"what","i","want","to",2
"what","is","most","important",2
"what","it","means","to",2
"whats","the","best","thing",2
"when","i","get","home",2
"when","i","was","a",4
"when","it","comes","to",6
"when","the","sun","is",2
"where","i","am","in",2
"why","do","so","many",2
"why","dont","you","just",2
"will","be","able","to",3
"will","be","held","on",2
"will","be","released","in",2
"with","a","bunch","of",2
"without","him","nay","i",2
"work","is","picking","up",2
"would","love","to","have",2
"yards","and","a","touchdown",2
"you","dont","have","a",2
"you","dont","have","to",3
"you","for","the","rt",2
"you","have","to","work",2
"you","just","have","to",3
"you","look","at","it",2
"you","want","to","come",2
